"ID";"RegioS";"Perioden";"TotaleOppervlakte_1";"TotaalVerkeersterrein_2";"Spoorterrein_3";"Wegverkeersterrein_4";"Vliegveld_5";"TotaalBebouwdTerrein_6";"Woonterrein_7";"TerreinVoorDetailhandelEnHoreca_8";"TerreinVoorOpenbareVoorzieningen_9";"TerreinVoorSociaalCultureleVoorz_10";"Bedrijventerrein_11";"TotaalSemiBebouwdTerrein_12";"Stortplaats_13";"Wrakkenopslagplaats_14";"Begraafplaats_15";"Delfstofwinplaats_16";"Bouwterrein_17";"SemiVerhardOverigTerrein_18";"TotaalRecreatieterrein_19";"ParkEnPlantsoen_20";"Sportterrein_21";"Volkstuin_22";"DagrecreatiefTerrein_23";"VerblijfsrecreatiefTerrein_24";"TotaalAgrarischTerrein_25";"TerreinVoorGlastuinbouw_26";"OverigAgrarischTerrein_27";"TotaalBosEnOpenNatuurlijkTerrein_28";"Bos_29";"OpenDroogNatuurlijkTerrein_30";"OpenNatNatuurlijkTerrein_31";"TotaalBinnenwater_32";"IJsselmeerMarkermeer_33";"AfgeslotenZeearm_34";"RijnEnMaas_35";"Randmeer_36";"Spaarbekken_37";"RecreatiefBinnenwater_38";"BinnenwaterVoorDelfstofwinning_39";"VloeiEnOfSlibveld_40";"OverigBinnenwater_41";"TotaalBuitenwater_42";"WaddenzeeEemsDollard_43";"Oosterschelde_44";"Westerschelde_45";"Noordzee_46"
"1582";"GM0063";"2015JJ00";"   11648";"     169";"       0";"     169";"       0";"     323";"     230";"       5";"       3";"      14";"      72";"      49";"       0";"       0";"       6";"       0";"       4";"      39";"      57";"       7";"      38";"       2";"       2";"       7";"    8257";"       2";"    8255";"     566";"      14";"       0";"     552";"      67";"";"";"";"";"       0";"       0";"       0";"       0";"      67";"    2160";"    2160";"";"";""
"1583";"GM0063";"2017JJ00";"   11648";"     162";"       0";"     162";"       0";"     324";"     229";"       4";"       5";"      11";"      75";"      48";"       0";"       0";"       5";"       0";"       4";"      38";"      58";"       7";"      41";"       2";"       2";"       6";"    8254";"       2";"    8252";"     579";"      14";"       0";"     565";"      69";"";"";"";"";"       0";"       0";"       0";"       0";"      69";"    2154";"    2154";"";"";""
"1584";"GM0310";"1996JJ00";"    2703";"      88";"       6";"      82";"       0";"     821";"     705";"       5";"      39";"      49";"      22";"      11";"       0";"       2";"       7";"       0";"       0";"       3";"     212";"     103";"      71";"       9";"       1";"      28";"     591";"       0";"     591";"     970";"     964";"       7";"       0";"      11";"";"";"";"";"       0";"       5";"       0";"       0";"       6";"";"";"";"";""
"1585";"GM0310";"2000JJ00";"    2701";"      88";"       6";"      82";"       0";"     818";"     705";"       5";"      39";"      46";"      22";"      12";"       0";"       2";"       7";"       0";"       0";"       3";"     213";"     103";"      71";"       9";"       1";"      28";"     590";"       0";"     590";"     969";"     965";"       5";"       0";"      11";"";"";"";"";"       0";"       5";"       0";"       0";"       6";"";"";"";"";""
"1586";"GM0310";"2003JJ00";"    6710";"     193";"      23";"     169";"       0";"    1077";"     853";"      19";"      66";"      91";"      49";"      33";"       0";"       2";"      16";"       0";"      13";"       3";"     262";"      70";"     133";"      13";"       1";"      45";"    3499";"       7";"    3492";"    1568";"    1469";"       9";"      90";"      78";"";"";"";"";"       0";"       2";"       0";"       0";"      76";"";"";"";"";""
"1587";"GM0310";"2006JJ00";"    6710";"     199";"      27";"     172";"       0";"    1082";"     858";"      17";"      66";"      92";"      49";"      20";"       0";"       2";"      14";"       0";"       0";"       3";"     277";"      82";"     136";"      13";"       1";"      45";"    3499";"       7";"    3492";"    1557";"    1441";"      11";"     105";"      78";"";"";"";"";"       0";"       2";"       0";"       0";"      76";"";"";"";"";""
"1588";"GM0310";"2008JJ00";"    6710";"     200";"      27";"     173";"       0";"    1091";"     851";"      26";"      66";"      94";"      56";"      21";"       0";"       2";"      16";"       0";"       0";"       3";"     257";"      61";"     138";"      12";"       1";"      45";"    3479";"       7";"    3472";"    1578";"    1473";"       8";"      97";"      83";"";"";"";"";"       0";"       2";"       0";"       0";"      81";"";"";"";"";""
"1589";"GM0310";"2010JJ00";"    6710";"     202";"      28";"     174";"       0";"    1098";"     851";"      31";"      60";"      94";"      63";"      31";"       0";"       2";"      16";"       0";"      10";"       3";"     254";"      58";"     137";"      12";"       1";"      45";"    3461";"       6";"    3455";"    1581";"    1472";"       9";"      99";"      84";"";"";"";"";"       0";"       2";"       0";"       0";"      83";"";"";"";"";""
"1590";"GM0310";"2012JJ00";"    6713";"     202";"      30";"     171";"       0";"    1095";"     846";"      31";"      61";"      89";"      70";"      45";"       0";"       2";"      18";"       0";"      22";"       3";"     243";"      55";"     128";"      12";"       4";"      44";"    3434";"       6";"    3428";"    1593";"    1488";"       8";"      97";"     100";"";"";"";"";"       0";"       2";"       0";"       0";"      99";"";"";"";"";""
"1591";"GM0310";"2015JJ00";"    6713";"     200";"      30";"     169";"       0";"    1106";"     851";"      32";"      69";"      81";"      73";"      37";"       0";"       2";"      18";"       0";"      15";"       2";"     245";"      56";"     130";"      12";"       4";"      43";"    3425";"       6";"    3419";"    1599";"    1495";"       8";"      96";"     101";"";"";"";"";"       0";"       2";"       0";"       0";"      99";"";"";"";"";""
